,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
105,fair,2016-11-04 08:17,Motivated to sell!!! See pictures for details.,,5848511054,16,Ranger,https://maps.google.com/?q=loc%3A+Church+Street+Jessup+PA+US,Unkown,$500,power, (Jessup),1973 16' ranger bass boat,https://scranton.craigslist.org/boa/5848511054.html,1973
106,,2016-11-03 11:25,STAR CRAFT DEEP V 9.9 MERCURY OUTBOARD 55LB.THRUST ELECTRIC BOW MOUNT TROLLING MOTOR FOOT CONTROL WITH TRAILER CONTACT JERRY AFTER 5PM AT show contact info or show contact info Only serious inquiries please!,,5859269523,14,Starcraft,"https://maps.google.com/maps/preview/@41.391400,-75.665700,16z",,$1500,power, (Scranton pa),Boat with trailer for sale,https://scranton.craigslist.org/boa/5859269523.html,
107,,2016-11-02 23:37,"Wood floating dock in decent shap, allows for a lot people to hang out on and attach your boat or jet skis to. Its about 40 feet long designed with an attached floating platform at the end and comes many extra pieces to add on or use for replacement. Free delivery is an option we can talk about if needed. I am asking 2800 for everything (including all necessary hardware) Thank you for looking Ignore: sea ray, seadoo, kayak, canoe, chaparral, pontoon boat, row boat, stingray, wellcraft, glastron, formula, fishing boat, nitro, CAROLINA SKIFF, MOOMBA MOBIUS, alluminum jon boat, Lund, hurricane, Starcraft, water front property, crownline, Mirrocraft, Mercury, jetboat, Checkmate, wakeboard tower, bow rider, mastercraft, Calabria, Moomba Mobius DD, tige, four winns, Malibu, mako, trailer",,5829252715,40,,,,$2800,human, (Lake wallenpaupack),Wood floating dock,https://scranton.craigslist.org/boa/5829252715.html,
108,,2016-11-02 14:32,"2016 - V2070 Relax Pontoon w/F70LA Yamaha Outboard On the Water Price $25,767.52 With a Venture VP-20-25 Trailer $27,463.41 RELAX SERIES: Stylish, uncompromised, timeless, age-less, luxury and value accurately depict Veranda Marines Relax Series. A boat for any generation, a boat for any situation, the complete solution for any budget and discerning buyer expecting the best return on their trusted investment. Relax in confidence, relax in comfort, relax in knowing you have made an intelligent, informed choice. Relax Series. THE VERANDA DIFFERENCE VERANDA LUXURY PONTOONS ARE BUILT TO LAST A LIFETIME Kelley Marine Center is the exclusive Veranda Pontoon Dealer in New York and the Exclusive Xpress Boat Dealer. What sets Veranda Pontoons quality above all other pontoons on the market? Well one of many reasons is the ""Patented All Aluminum Deck"" If your into GREEN.....No Wood, No Rot. And Xpress Boats are the ""Original All Weld"" Aluminum Boat. Don't be fooled by other dealers of pontoons that will tell you their pontoons have ""All Aluminum Decks"". Look carefully, in between the carpet and the aluminum deck is WOOD!!!! Standard Features Patented All Aluminum Deck 25"" Pontoon Logs Changing Room Horn Stereo w/USB Plug and 2 Speakers LED Courtesy Light on Console 9"" Bimini Top Options Included Color Panel Upgrade (In Stock: Blue - Charcoal - Burgundy) Stainless Boarding Ladder EPA Compliant Fuel Tank Ski Tow Bar Mooring Cover Table Package Vinyl Flooring THE OWNER OF KELLEY MARINE CENTER IS A PROUD, HIGHLY DECORATED MILITARY VETERAN AND LAW ENFORCEMENT PROFESSIONAL. ASK ABOUT OUR DISCOUNTS FOR MILITARY AND LAW ENFORCEMENT PROFESSIONALS",,5857972662,20,Veranda,https://maps.google.com/?q=loc%3A+%31%37%30%31+Union+Center+Maine+Hwy+Endicott+PA+US,V2070,$25767,power," (Kelley Marine Center, Endicott, NY)",2016 Veranda V2070 Relax Pontoon w/F70LA Yamaha,https://scranton.craigslist.org/bod/5857972662.html,
109,good,2016-11-02 07:39,"With some melancholy feelings attached, I have reluctantly decided to sell my Pumpkin Seed sailboat... a racing scow. I have owned her for 3 years but have never put her in the water. She needs a little bit of restorative work on the hull... namely, some wood repairs around the aft end of the lee board carriers and she really deserves to have the old school clear fiberglass coating over the entire hull stripped and redone due to crazing in the surface. She will look like a Boulevard boat when finished. Handbuilt of cedar strip and steam bent marine plywood in 1966 and garage stored for 40 years without sailing her by the previous owner. She comes with two sets of sails.. heavy and light air. She also comes with an extra set of spars including a mast and boom.  LOW 14.5 ft. Beam 5 ft. This sailboat has a pair of lee boards that slide through the hull protruding downward and slightly outward on each side. They pivot for adjustment as well as to bring them up into the hull. So there is no keel, dagger board or centerboard. Trailer shown under her was temporary and now gone. Have another sailboat trailer with mast cribbing built in but needs some hull cribbing modification to accommodate this boat for travelling that wouldn't damage the hull. I can probably do this if someone really wants the trailer along with the boat. I am asking $1600 for the sailboat and all accoutrement. The trailer can be had for $150 but I don't have any registration title for it. Never did. Sold to me in NJ with no title. #sailboat #woodenboat #vintageboat #woodensailboat Six, one, zero   3, four, nine   5, 1, zero, nine will get you more answers.",,5818226318,15,,"https://maps.google.com/maps/preview/@40.576619,-75.526598,16z",Pumpkin Seed,$1600,sail, (Allentown),Sailboat/Handbuilt/Pumpkin Seed/ Racing Scow,https://scranton.craigslist.org/boa/5818226318.html,1966
110,good,2016-11-01 19:19,"14' Smoker Craft with trailer,6hp Johnson outboard, electric trolling motor, fish finder, 6 gallon gas tank, oars, swivel seats, cover",,5832492632,14,Smoker Craft,,,$1000,power, (Moosic),Boat and trailer,https://scranton.craigslist.org/boa/5832492632.html,1970
111,good,2016-11-01 16:07,Two jet skis for sale. I have a 92 superjet that is a project just have no time to finish it has a b pipe foot holds 0degree bars bilge pump. Needs some tlc on the looks side as well as the carburetor tuned has all paperwork. 1600 with b pipe 1400 without with stock pipe will need gaskets for stock pipe. My other ski is a 94 750sx painted ski has foot holds 0 degree bars but like the superjet needs some help on the curve appeal. Unlike the superjet this ski is ready to ride and runs great. Has all paperwork. 1500 obo. Text 570 three 0 1 8 4 one six Perfect winter projects. No trailer will separate.,,5856496109,6,Kawasaki Yamaha,https://maps.google.com/?q=loc%3A+L+Harveys+lake+PA+US,Superjet sx,$3000,power, (Harveys lake),Square nose Yamaha superjet and Kawasaki 750 ax standup jetskis,https://scranton.craigslist.org/boa/5856496109.html,1994
112,,2016-11-01 15:22,"New Paint, Wiring, trolling motor and seats. Comes with a 9.5 HP Johnson motor in great condition, trailer included.",,5856527057,12,,"https://maps.google.com/maps/preview/@41.249935,-75.911407,16z",,$1100,power, (WILKES BARRE),"$1,100 this week only!!!' Aluminum Boat, 9.5 hp Johnson and Trailer",https://scranton.craigslist.org/boa/5856527057.html,
113,fair,2016-11-01 13:01,Crestliner boat. Im a manager at a company that removes property from foreclosed Homessage.   This boat is from a house we cleared out. So I have no paperwork. My research shows its a 1961. I'D tag on back shows 930-3221H   I'm sure you'd be able to get a title or bill of some sort.  Boat sold as is. With trailer. Firm !!!  Text show contact info,,5856258178,16,,,,$300,power, (Local),1961 Crestline.  Very cheap.,https://scranton.craigslist.org/boa/5856258178.html,1961
114,,2016-10-31 21:08,"Thrill Seeker Inflatable Kayak in like new condition.  Paid $1400, selling for $900.  The model is a TS 140 made for someone up to 140 lbs. and the color is white and red.  Please see the manufacturers website for detailed information about a Thrill Seeker at http://www.tseeker.com/html/thrillseekers.html I DO NOT RETURN EMAIL due to the various issues with illegitimate users of Craigslist!!!  Please call me if you are interested in the boat. Ted show contact info",,5815456219,11,,,,$900,human," (White Haven, PA)",Thrill Seeker Inflatable Kayak,https://scranton.craigslist.org/boa/5815456219.html,
115,,2016-10-31 17:16,I have two jet skis that I purchased last year and haven't taken the time to use... 93 seadoo 95 tigershark Galvanized trailer that carries both jet skis I have clean titles for both jet skis and the trailer. The tigershark will need a new seat/seat cover. Please email if interested and leave name and number. I will contact you as soon as I can.,,5855209053,8,,"https://maps.google.com/maps/preview/@41.315981,-75.543880,16z",,$1200,power, (Moscow),2 jet skis with trailer,https://scranton.craigslist.org/boa/5855209053.html,
116,fair,2016-10-31 15:54,This boat I got from my boss I don't need it it is 24' long and the floor needs to be redone and minor engine work needs to be done  also I have covers lifejackets tubes all the electronic stuff fishfinders radar etc.trade for a plow truck title in hand,,5816953699,24,Crownline,,,$6000,power, (Frenchtown),Crown line 24' boat,https://scranton.craigslist.org/boa/5816953699.html,1994
117,good,2016-10-31 06:44,"SINGLE SCULL RECREATIONAL  INCLUDES 2 SET OARS, SEAT, NEED TLC 750 OBO",,5854250347,25,PRO AM 25,"https://maps.google.com/maps/preview/@41.272259,-75.860381,16z",PRO AM 25,$750,human,,SCULL-SINGLE   price reduced,https://scranton.craigslist.org/boa/5854250347.html,
118,good,2016-10-30 23:03,"The boat has been very well cared for during it's life, It's always been detailed twice a year at least and washed down/flushed after every use. The boat has been serviced every 100hrs as per Volvo guidelines or once a year whichever is sooner, Since purchase we have completed the following preventative maintenance;1. Both Carbs rebuilt/balanced 2. Exhaust headers replaced, 3. Valve job on both motors, 4. Water pumps, T stat on both, 5. Plugs, Leads, Cap, Rotor on both motors, 6. New belts on both motors, 7. New starter Motors, 8. New batteries, 9. New battery charger, 10. New drain outlets, 11. New bilge pumps, 12. New Garmin GPS, 13. New power toilet, 14. Custom Metal T top, 15. Custom fitted storage cover (never used) 16. New CD player plus speakers, 17. New exhaust bellows and intake bellows, 18. New gimbal bearings on both motors, 19. Dual stainless counter rotate props (original ones included brand new!!) 20. Full set of cabin mats included never been used",,5854072952,27,,,,$10800,power,,Very Clean 2000 Regal N 565011/2760 2x volvo GL!!,https://scranton.craigslist.org/boa/5854072952.html,
119,,2016-10-30 21:56,750ss Kawasaki Jet Ski and Trailer. Jet ski needs motor I just do not have time to put one in. Package deal will not sell separate. $400 OBO.,,5854016167,8,,"https://maps.google.com/maps/preview/@41.579200,-75.252800,16z",,$400,power, (Honesdale),750ss Kawasaki Jet Ski,https://scranton.craigslist.org/boa/5854016167.html,
120,excellent,2016-10-30 20:21,Hurricane deck boat with 150 hp Yamaha four stroke . Runs like a charm. The owner has passed away so we are trying to get rid of it. This is a cheap price for this boat. It is equipped with Sirius xm radio and comes with a trailer . Firm at 17000 . Fully winterrized and shrink rapped. Call with any offers. Thank you.,,5853922782,32,Hurricane,"https://maps.google.com/maps/preview/@41.427400,-75.646500,16z",,$17000,power, (Scranton),2005 hurricane deck boat,https://scranton.craigslist.org/boa/5853922782.html,2005
121,good,2016-10-30 14:22,"Sail Boat in good condition. It's called a Day Sailor. We've used it here and there. Always kept where you see it in this storage barn. We've used it on a lake once in a while. The trailer comes with it. Everything is there to start sailing. Simple boat. Nothing extravagant. $1000.00 or best offer, price is very negotiable. There are no holes. Boat works as it should. No trades sorry Please text or call Anthony 717-623- nine four 8 two",,5824331049,16,Day Sailor,,DS,$1000,sail, (Preston Park),Sail Boat,https://scranton.craigslist.org/boa/5824331049.html,1999
122,excellent,2016-10-30 12:52,"I purchased this last fall from a family friend who moved to Florida. I know the history of this Jetski. It was hardly ever used, when it was it was in a family setting. It has always been garaged. Someone buy this and get some use out of it. 1996 Arctic Cat 640cc. Comes with 3 life jackets and original VHS owners manual! (And trailer)",,5853321919,8,Arctic Cat Tigershark,,640cc,$1000,power, (Nanticoke),Jetski with trailer,https://scranton.craigslist.org/boa/5853321919.html,1996
123,,2016-10-30 08:50,"Inflatable boat with trailer, $700 OBO GREAT for the river, traveling etc..  Price includes boat, trailer and oars.  You can remove seats and deflate and fold or just keep on trailer.  (Motor not included in price)! Contact me for more info..",,5845374588,14,,,,$700,power, (Shickshinny),Inflatable Boat,https://scranton.craigslist.org/boa/5845374588.html,2000
124,excellent,2016-10-29 20:46,VERY LOW HRS    5   PASSENGER     CHALLENGER SEND FOR PIC,,5805825522,16,,"https://maps.google.com/maps/preview/@41.566400,-75.975700,16z",,$3500,power, (TUNKHANNOCK),SEADOO BOAT,https://scranton.craigslist.org/boa/5805825522.html,
125,,2016-10-29 15:56,Great condition a must see,,5852316780,14,,"https://maps.google.com/maps/preview/@41.482100,-75.589900,16z",,$1000,human, (Scranton),14 ft aluminum boat with new trailer,https://scranton.craigslist.org/boa/5852316780.html,
126,,2016-10-29 11:09,"2014 tzx 195 with 31 hours recorded on motor .yamaha 175hpdi Bought just 2 months ago and new job causes me to sell boat as I will have no time to use it. 10 ft talon not included  , hummingbird 1199si kvd edition up front and a 959di on the bow interlocked . Manuel jackplate . Boat cleaned after every trip. In excellent condition . Call for more details . Clear title in hand for trailer and boat",34,5851817419,19,,,,$28000,power,,Skeeter tzx 195,https://scranton.craigslist.org/boa/5851817419.html,
127,new,2016-10-29 09:05,"Brand new 1600 Fury with 25HP four stroke Mercury with matching trailer, bilge pump, running lights, livewell, wired for trolling motor, financing available, all manufacturers warranties apply, get on the water today!",,5851647931,16,,"https://maps.google.com/maps/preview/@41.422134,-75.199184,16z",,$10600,power," (Tafton, PA)",2016 Lund 1600 Fury with 25HP 4 stroke Mercury,https://scranton.craigslist.org/bod/5851647931.html,
128,,2016-10-28 22:43,115hp Mercury outboard. Restoration project is 1/2 finished. Has new floor and carpet. Trailer has brand new tires.,,5851341000,17,,"https://maps.google.com/maps/preview/@41.284300,-75.893500,16z",,$1500,power, (Luzerne),17' Tri-hull,https://scranton.craigslist.org/boa/5851341000.html,
129,good,2016-10-28 21:33,"NICE 2ND OWNER 19'.5FT BAYLINER CAPRI OPEN BOW WITH GALVANIZED TRAILER 3.0 MERCRUSIER WITH 130HP.. GREAT ON GAS. VERY WELL MAINTAINED.. EVERYTHING WORKS AS IT SHOULD.. COMES WITH LOWERANCE FISH FINDER, NEW BOSS STEREO CD PLAYER AND BOSS SPEAKERS. BIMINI TOP, NEW COVER, USB PORTS, 12V POWER OUTLET. ALL SEATS AND CUSHIONS ARE IN NICE SHAPE WITH MAYBE 2 MINOR FLAWS. HULL IS IN GREAT CONDITION!!!!  PROFESSIONALLY WINTERIZED AND READY FOR THIS SEASON. $4000 CASH ONLY!!!!  NO LOW BALL OFFERS!!!  THX",,5851279654,19,Bayliner,,Capri,$4000,power, (SCRANTON),1995 BAYLINER CAPRI 19'.5 OPEN BOW,https://scranton.craigslist.org/boa/5851279654.html,1998
130,excellent,2016-10-28 20:22,VERY LOW HRS    5   PASSENGER     CHALLENGER SEND FOR PIC,,5805826362,16,,"https://maps.google.com/maps/preview/@41.566400,-75.975700,16z",,$3700,power, (TUNKHANNOCK),SEADOO BOAT,https://scranton.craigslist.org/boa/5805826362.html,
131,like new,2016-10-28 17:04,"ORIGINAL LIST PRICE INCLUDING ACCESSORIES IS OVER $18,900.00 VALUE *****PRICED TO SELL @ $13,999.00 OR BEST REASONABLE OFFER ***** Like Brand New - White with Bright Red & Gold Accent Decals  *** Fresh Water Use Only *** Low Hours on Lake Wallenpaupack / Slip at Ironwood Recreational Area - Greentown, PA Half Slip has (2) Hugger Bumper Pads combined with Mooring Whips (Could be Included in deal) 2014 COM-PAC (HUTCHINS) 17 LEGACY Specifications DIMENSIONS & WEIGHT * LOA:  16' 6"" * LWL:  14'3"" * Cockpit Length: 6'6"" * Mast Height Above Water:  22' * Beam: 6'* * Draft (board up):  16"" * Draft (board down): 3'6"" * Displacement:  1000 lbs * Ballast:  400 lbs * SAIL, RIGGING & HULL * Sail Area: 130 square feet * Rig Type: Fractional Sloop Rig * Steering Type: Tiller * Keel Config: Swing Ctr Board * SYSTEMS & AMENTITIES * Berths:  Sleeps (2) in a cozy cabin * Head:  PortaPotty * TRAILERING * Trailer Type:  Galvanized * Length on Trailer:  20' * Height on Trailer:  6' * HULL & DECK * Stainless steel bow sprit with anchor roller * Anchor rode deck pipe * Rode locker in bow * Stainless bow rail * * Stainless stern arch * Stainless motor bracket * Stainless retractable centerboard * Three stainless mooring cleats * * Kick up rudder * Laminated teak and ash tiller * COCKPIT * Self-bailing cockpit is 6'6"" long * CABIN * Berths for two * Porta potti / Storage * Forward opening deck hatch * Forward circular fixed port window * * Port and starboard fixed port windows * Sliding companionway hatch w/hatchboards * SPARS, SAILS & RIGGING * Main and Jib (lapper) * BoomTendr (tm)* Quick Rig Sailing System * OPTIONS * Boarding Ladder:  Stainless steel, hinged * Vinyl Berth Cushions:  3 piece, neutral color * Filler Cushion & Board for Berths: Spans gap between port & starboard berths * Sail & Tiller covers:  Bright Red * Cockpit Backrest Lines: Padded and Covered with Canvas in Bright Red * Hatch screen:  10"" by 10"" for forward hatch * Electrical Package:  Includes navigation and cabin lights, switch panel. * 12 Volt Battery:  Small AGM. 34 amp hour (wheelchair battery) * Portable Marine Head (Never Used) ADDITIONAL BOAT ACCESSORIES * Graphics ""WIND DANCER"" * Bimini Top: Alum Frame Sunbrella Fabric Bright Red * Installation of (2) Mid-ship Cleats * Windex * Seoladair Boom Kicker * Boom Vang * Anchor Chain, Rope & Stainless Steel Anchor Swivel * Galvanized Delta Anchor * Fire Extinguisher OUTBOARD MOTOR & ACCESSORIES * Honda(Model BF5A) 5 hp four stroke, 20"" long shaft (Under 8 hours use) * Outboard Storage Dolly TRAILER ACCESSORIES * Galvanized Trailer:  Single axle, no brakes * Spare Tire:  Mounted on Trailer * Spare Tire Bracket:  Fulton Bracket * PVC Trailer Guides * SeaSense Easy Jack (Trailer Jack) * Trailer Dolly with Ball Hitch",8,5850933748,17,Com-Pac Yachts - Hutchins Co.,https://maps.google.com/?q=loc%3A+%31%30%34+East+Lakeview+Road+Lackawaxen+PA+US,Legacy 17,$13999,sail," (Lackawaxen, PA)",*2014 Legacy 17 Sailboat - Com-Pac Yachts *,https://scranton.craigslist.org/boa/5850933748.html,2014
132,good,2016-10-28 13:30,"14' Starcraft 14' Aluminum Deep V Fishing Boat with 2003 Shorelandr Trailer. $1450 plus tax/reg. SEAMAN'S MARINE INC. 2017 Roosevelt Hwy, Rt. 6 West Honesdale, PA 18431 www.seamansonline.com",,5850548835,14,,"https://maps.google.com/maps/preview/@41.578037,-75.285208,16z",,$1450,power, (Honesdale),1995 Starcraft 14' Deep V Rowboat,https://scranton.craigslist.org/bod/5850548835.html,
133,excellent,2016-10-28 13:24,"2006 Alumacraft Crappie Jon 14' Aluminum Mod-V Fishing Boat 2009 EZ-Loader Trailer Boat is in very good shape and comes with mooring cover. $1890 plus tax/reg. SEAMAN'S MARINE INC. 2017 Roosevelt Hwy, Rt. 6 West Honesdale, PA 18431 www.seamansonline.com",,5850536285,14,,"https://maps.google.com/maps/preview/@41.578150,-75.285208,16z",,$1890,power, (Honesdale),2006 Alumacraft Crappie Jon 14',https://scranton.craigslist.org/bod/5850536285.html,
134,,2016-10-27 23:43,"Maps available: Frances Slocum Lake Duck Harbor Pond Fairview Lake Shohola Lake Measures 24"" x 17-1/2"". Printed on paper (not waterproof). Pictures are blurry. Actual maps are good. If you are reading this ad the item is still for sale. Click ""reply"" for phone number. No text. Shipping is available folded flat for $2.00 To see more of my stuff click ""more ads by this user"" link.",,5849823750,1,,"https://maps.google.com/maps/preview/@41.498035,-75.695972,16z",,$5,human, (Clarks Green),Lake Winola (and others) Hydrographic Map,https://scranton.craigslist.org/boa/5849823750.html,
135,fair,2016-10-27 18:20,"Four classic outboards for sale for parts or repair. 1956 7.5hp ScottAtwater, 1975 Johnson 4hp, 1975 SeaKing 7.5hp, and 1976 Clinton 3.5hp. All turn freely with compression. $125 for all four.",0,5849484783,4,"Scott, Johnson, Sea King, Clinto","https://maps.google.com/maps/preview/@41.574400,-75.588100,16z","7.5, 7.5, 3.5, 4",$125,power," (Scott Twp., PA)",Four Classic Outboards for Sale Package Deal,https://scranton.craigslist.org/boa/5849484783.html,1956
136,good,2016-10-26 21:02,"smokercraft Lake Ontario ready 90 evinrude 15 evinrude kicker, 4 cannon downriggers magnum, planer boards, 24 volt motorguide. vhf radio, lowrance depth finder 5,000 or best offer",,5848107116,18,Smokercraft,,18 mgo,$5000,power, (Scott Township),1990 Smokercraft 18ft,https://scranton.craigslist.org/boa/5848107116.html,1990
137,good,2016-10-26 19:32,"For sale! 12 ft. Smoker Craft aluminum boat with trailer - Good condition Includes: - Minn Kota 65 Weedless 28 lbs. thrust electric motor - 2 oars - 1 cushioned seat - Chrysler gas motor (hasn't been run in a few years so may need work) US Coastguard capacity information: - Maximum person capacity: 300 lbs. - Maximum weight capacity (persons, motor, and gear): 455 lbs. - Maximum horsepower: 7.5 See pictures for details. $650 - negotiable If interested, call show contact info",,5847998015,12,Smoker Craft,"https://maps.google.com/maps/preview/@41.467700,-75.601500,16z",,$650,power, (Olyphant),Smoker Craft Aluminum Boat (12 ft.) with Trailer,https://scranton.craigslist.org/boa/5847998015.html,
138,,2016-10-26 16:05,both motor and both are 2003 and trailer is 2004  all have titles no problems runs perfect show contact info,,5801731202,20,,"https://maps.google.com/maps/preview/@41.435000,-75.610300,16z",,$7500,power, (throop pa),2003  20ft pontoon boat johnson 40hp 2 stroke,https://scranton.craigslist.org/boa/5801731202.html,
139,new,2016-10-25 14:34,"Powered by Yamaha 150 h.p. outboard.  Atomic Blue package which includes Atomic Blue rails, dash, exterior skirting lights.  Complete grasscloth flooring, sport tube w/lifting strakes, performance sheeting, hydraulic steering, turbo swing, Evolution bimini top, Mirage changing room, 30 gal. fuel tank.  Call for further information.",,5845876251,23,Premier,"https://maps.google.com/maps/preview/@41.424071,-75.353999,16z",Sunsation RF,,power,,2017 Premier Sunsation RF 230,https://scranton.craigslist.org/bod/5845876251.html,2017
140,new,2016-10-25 14:33,"Powered by Yamaha 115 h.p. outboard.  25"" triple tube package, lifting strakes, hydraulic steering, 35 gal. fuel tank, Sony BT stereo w/4 speakers, depth/fish finder, mates chair, complete seagrass flooring, cooler, ski tow bar.  Call for further information.",,5845874069,22,Sweetwater,"https://maps.google.com/maps/preview/@41.439500,-75.431300,16z",2286 SLC,,power,,2016 Sweetwater 2286 SLC,https://scranton.craigslist.org/bod/5845874069.html,2016
141,fair,2016-10-25 11:33,"Glasstron Bass Boat with 150 HP Johnson Motor.  Boat runs like a scared rat - 2 live wells, electric trolling motor, (2 batteries) depth/fish finder, upholstery nice, needs new rug, its all there  but needs some TLC, - Motor is strong - stainless prop .   Hull has some fading/scratches but is solid.  Boat has title but trailer sold with bill of sale only. First $1850 CASH takes it - renewed listing - was waiting for buyer to come up with the money, can't wait any longer.",,5845516905,16,Glasstron,"https://maps.google.com/maps/preview/@41.220800,-75.773600,16z",Bass Boat,$1850,power, (wilkes barre),1989 Glasstron Bass Boat,https://scranton.craigslist.org/boa/5845516905.html,1989
142,excellent,2016-10-25 10:40,Excellent Condition ..VERY Low hours ..less than 70 ..this is a 150HP TWO STROKE TRIPLE ..70 MPH ...new battery ..includes load rite trailer with new tires ...titles in hand for both Ski and trailer ..trades considered ...winterized ..,70,5823534121,113,Kawasaki,"https://maps.google.com/maps/preview/@40.950600,-76.048700,16z",Ultra 150,$3200,power, (hazleton),Jet Ski Kawasaki Ultra 150,https://scranton.craigslist.org/boa/5823534121.html,2001
143,excellent,2016-10-24 21:38,"1997 212 Festiva with cuddy. 4.3 engine. Included with boat is Mooring Cover, Cockpit Cover, and Camping Cover. Life Jackets, Fenders, Water Skis, Porti-Potty and Trailer. All is in excellent to very good condition.",,5836977063,21,Rinker,"https://maps.google.com/maps/preview/@41.466700,-75.856000,16z",212 Festiva,$7000,power, (Falls Pa),1997 Rinker with Cuddy,https://scranton.craigslist.org/boa/5836977063.html,1997
144,,2016-10-24 18:29,"12' fishing boat with trolling motor, oars, life jackets, gas motor and trailer Trailer needs to be titled, and the boat is in my friends name, and needs floor. It was rotted For sale as is $300.00",,5844630215,12,,"https://maps.google.com/maps/preview/@41.583100,-75.505600,16z",,$300,power, (CARBONDALE),12' fishing boat,https://scranton.craigslist.org/boa/5844630215.html,
145,good,2016-10-24 16:47,This out board is in nice shape dose not run needs carb work price is negotiable need gone,,5844458203,3,Evinrude,"https://maps.google.com/maps/preview/@41.524440,-75.544462,16z",,$300,power, (Jermyn),1962 evinrude 18hp outboard,https://scranton.craigslist.org/boa/5844458203.html,1962
146,,2016-10-24 15:48,"We have a 1986 wellcraft cabin cruiser with trailer for sale. The boat is 26ft. The trailer will hold a bigger boat. Trailer has new tires and wheel bearings. Titles for both. Boat needs a motor. Boat and trailer must go together. Will not sell one without the other. If interested, call or text show contact info Asking 2,000 or best offer. Trailer alone is worth that price. Flamingo does not go with boat.",,5799879047,26,,,,$2000,power, (Montrose),1986 wellcraft cabin cruiser,https://scranton.craigslist.org/boa/5799879047.html,
147,good,2016-10-24 11:26,"1973 Boston Whaler Montauk, beautiful wood console and benches. 8 HP Johnson side kick motor. Good condition garage stored. 5,000.00",,5843813050,17,Montauk Boston Whaler,"https://maps.google.com/maps/preview/@41.966600,-75.937500,16z",3A4692,$5000,power, (Brackney),"1973 17' Boston Whaler montauk, beautiful wood console and benches. Go",https://scranton.craigslist.org/boa/5843813050.html,1973
148,good,2016-10-24 02:30,4 Sale $1000 . 1975 Strury 16' fiberglass boat & trailer. No motors. New deck. Good shape. OBO.,,5843382661,16,Strury,"https://maps.google.com/maps/preview/@41.268900,-75.845300,16z",,$1000,power, (WILKES BARRE),16' Fiberglass boat & trailer,https://scranton.craigslist.org/boa/5843382661.html,1975
149,,2016-10-23 21:31,"Looking to upgrade selling our 94 sea Ray cuddy cabin. 305 engine mercruiser out drive. Boat in great shape for the age low hrs. Have full canvas enclosure, fish finder and trolling motor. Dual batteries replaced one in 2015 and the other in 16. Tires in excellent condition no dry rot galvanized rims so no rust. 2 spare tires on on rim the other brand new. Shore land'r dual axle trailer. Any questions just ask.",,5809522122,20,Sea Ray,"https://maps.google.com/maps/preview/@41.046900,-76.198100,16z",Signature 200,$7250,power, (Nescopeck),1994 sea ray signature 200,https://scranton.craigslist.org/boa/5809522122.html,1994
150,excellent,2016-10-23 18:42,"2006 Bayliner Discovery 185, is in excellent shape and it has always been well cared for. It has been winterized every year we've had it and waxed. Always professionally maintained and everything is in working order. This is a great boat for day boating. Whether you are on the lake or on the bay, this 185 will get the whole family where you need to go with dependability. We've owned this boat since it was purchased new off the showroom floor. We are looking to purchase a Pontoon boat. Trades will be considered on a case by case basis. Please email me with any questions you may have. ***THE BOAT DOES NOT HAVE AN HOURS GUAGE. IF YOU WANT TO KNOW THE HOURS YOU WILL NEED TO PLUG A COMPUTER INTO THE ENGINE TO OBTAIN ALL PERTINENT INFORMATION***",,5842984882,18,Bayliner,https://maps.google.com/?q=loc%3A+%31%32%31%34+Mowry+Street+old+forge+PA+US,185,$11999,power, (Baltimore),2006 Bayliner 185 (ONE OWNER),https://scranton.craigslist.org/boa/5842984882.html,2006
151,excellent,2016-10-23 14:35,Nice paddleboat everything works just don't use it anymore call me show contact info thanks $250,,5801806747,7,KXf,,Kawasaki,$250,human, (Lake Ariel),Paddleboat,https://scranton.craigslist.org/boa/5801806747.html,
152,excellent,2016-10-21 12:00,"1989 Ranger Comanche 361 V Hull Bass Boat Full Tournament Package; Tuck & Roll Wrap Seats; Full Deck Extension; Auxilary Fuel Tank Built In; Power Pole Seat w/Extra Seat; Total of 4 Pumps Built In; Plus Lots, Lots, More. Suzuki 150HP Super 6 Motor Ranger Trail Deluxe Trailer And Still More!!!!!",,5839351811,18,Ranger,"https://maps.google.com/maps/preview/@41.274200,-75.890300,16z",Comanche,$9000,power, (Kingston),1989 Ranger Comanche 361 Bass Boat + Trailer  + Suzuki 150HP Motor ++,https://scranton.craigslist.org/boa/5839351811.html,1989
153,good,2016-10-20 20:39,"This is an older Jiffy Ice Drill in great condition with a 3 HP Tecumsen 2 stroke engine. It runs on a 24-1 gas/oil ratio. Model # 670-05F, Serial # 6285. Has a 6"" auger.",,5793178648,1,Jiffy,https://maps.google.com/?q=loc%3A+%33%37%39+Arnolds+Road+Jermyn+PA+US,670-05F,$150,power, (Gereenfield Twp.),Jiffy Ice Drill,https://scranton.craigslist.org/boa/5793178648.html,
